phase	repo	status	sha	pr	branch	restored	note	refs
scaffold	agent-pontifex/agent-sdk.rs	PUSHED	3a88ca3c					
scaffold	agent-pontifex/ai-agent-bridge.rs	PUSHED	3bff8a3d					
scaffold	agent-pontifex/ai-agent-coordinator.rs	PUSHED	14a2bdae					
scaffold	anticaptrad/act-ai-server.ts	PUSHED	e37e06aa					
scaffold	anticaptrad/act-api-server.rs	PUSHED	2f408dca					
scaffold	anticaptrad/act-e2e	PUSHED	a5c47351					
scaffold	anticaptrad/act-infra	PUSHED	3e5162a5					
scaffold	anticaptrad/act-mcp-server.rs	PUSHED	4e732311					
scaffold	anticaptrad/act-sync	PUSHED	273137e5					
scaffold	anticaptrad/act-web-server.rs	PUSHED	0a1934a7					
scaffold	apostille-me/apme-api	PUSHED	c466ed0f					
scaffold	apostille-me/apme-cli	PUSHED	df9b1656					
scaffold	apostille-me/apme-infra	PUSHED	f211d782					
scaffold	apostille-me/apme-monorepo	PUSHED	991e932b					
scaffold	apostille-me/apme-sync	PUSHED	ba93504d					
scaffold	apostille-me/apme-web-dioxus	PUSHED	b1ad9314					
scaffold	apostille-me/apme-web-leptos	PUSHED	1550a7da					
scaffold	apostille-me/apme-web-mash	PUSHED	f5192af5					
scaffold	athlet-o/athleto-app-rs	PUSHED	b659a1dd					
scaffold	canonical-cloud/canonical-api-server.rs	PUSHED	28183ac6					
scaffold	canonical-cloud/canonical-monorepo	PUSHED	e43e1415					
scaffold	canonical-cloud/canonical.cloud	PUSHED	377aa5b7					
scaffold	cliptown/cliptown-infra	PUSHED	caa2f1d6					
scaffold	cliptown/cliptown-monorepo	PUSHED	b31123fc					
scaffold	cliptown/cliptown-rust-backend.rs	PUSHED	14dcc150					
scaffold	discrete-event-systems/des-web.rs	PUSHED	e9105c0f					
scaffold	embedded-alerts/eal-cli	PUSHED	b20dc2b4					
scaffold	embedded-alerts/eal-dioxus-web	PUSHED	a9c98c5d					
scaffold	embedded-alerts/eal-infra	PUSHED	d7b4159d					
scaffold	embedded-alerts/eal-leptos-web	PUSHED	9e2c857e					
scaffold	embedded-alerts/eal-mash-web	PUSHED	abc1315e					
scaffold	embedded-alerts/eal-monorepo	PUSHED	84ee35eb					
scaffold	embedded-alerts/eal-sync	PUSHED	35d79862					
scaffold	evento-globolo/evgl-api	PUSHED	a253c2e5					
scaffold	evento-globolo/evgl-cli	PUSHED	90c2fe3a					
scaffold	evento-globolo/evgl-dioxus-web	PUSHED	7c211454					
scaffold	evento-globolo/evgl-infra	PUSHED	9b2d570f					
scaffold	evento-globolo/evgl-leptos-web	PUSHED	8cd89afc					
scaffold	evento-globolo/evgl-mash-web	PUSHED	b0f45433					
scaffold	evento-globolo/evgl-monorepo	PUSHED	95ffd11a					
scaffold	evento-globolo/evgl-sync	PUSHED	d5571347					
scaffold	fanwaave/push-notification-server.rs	PUSHED	7502a17c					
scaffold	file-tunnel/ftnl-backend-api.rs	PUSHED	4119a894					
scaffold	file-tunnel/ftnl-cli	PUSHED	648cee9c					
scaffold	file-tunnel/ftnl-desktop-app.rs	PUSHED	36ed7def					
scaffold	file-tunnel/ftnl-e2e	PUSHED	fe6ad6cb					
scaffold	file-tunnel/ftnl-monorepo	PUSHED	2ec588fc					
scaffold	file-tunnel/ftnl-sync	PUSHED	175e3756					
scaffold	file-tunnel/ftnl-web-server.rs	PUSHED	47a19d95					
scaffold	hacker-house-medellin/hhm-api	PUSHED	a0269f0a					
scaffold	hacker-house-medellin/hhm-cli	PUSHED	baa5bc46					
scaffold	hacker-house-medellin/hhm-dioxus-web	PUSHED	998af216					
scaffold	hacker-house-medellin/hhm-infra	PUSHED	97432b32					
scaffold	hacker-house-medellin/hhm-leptos-web	PUSHED	2ed8c740					
scaffold	hacker-house-medellin/hhm-mash-web	PUSHED	304f64ee					
scaffold	hacker-house-medellin/hhm-monorepo	PUSHED	066464e4					
scaffold	hacker-house-medellin/hhm-sync	PUSHED	f939b435					
scaffold	led-dynamo/leddy-api-server.rs	PUSHED	33153f41					
scaffold	led-dynamo/leddy-e2e	PUSHED	94218031					
scaffold	led-dynamo/leddy-infra	PUSHED	df7363ff					
scaffold	led-dynamo/leddy-web-server.rs	PUSHED	5cdd20ac					
scaffold	opto-sync/opto-sync-e2e	PUSHED	caed9f75					
scaffold	opto-sync/syncer.rs	PUSHED	946e23b0					
scaffold	ores-otel/ores-lib-core	PUSHED	0a8d1eaa					
scaffold	ores-otel/ores.otel.log	PUSHED	a5785f42					
scaffold	quaestor-ledger/quaestor-ledger-e2e	PUSHED	fb575955					
scaffold	canonical-cloud/canonical-mcp-server.rs	PR		https://github.com/canonical-cloud/canonical-mcp-server.rs/pull/33				
scaffold	canonical-cloud/canonical-web-server.rs	PR		https://github.com/canonical-cloud/canonical-web-server.rs/pull/77				
scaffold	discrete-event-systems/des-mcp-server.rs	PR		https://github.com/discrete-event-systems/des-mcp-server.rs/pull/30				
scaffold	gha-indie-worker/gha-clone-server.rs	PR		https://github.com/gha-indie-worker/gha-clone-server.rs/pull/8				
scaffold	gha-indie-worker/gha-indie-worker.rs	PR		https://github.com/gha-indie-worker/gha-indie-worker.rs/pull/33				
scaffold	meta-agents-demo/meta-agent-control-plane.rs	PR		https://github.com/meta-agents-demo/meta-agent-control-plane.rs/pull/53				
scaffold	meta-agents-demo/meta-agents-server.rs	PR		https://github.com/meta-agents-demo/meta-agents-server.rs/pull/6				
scaffold	embedded-alerts/eal-api	PUSHED	9fd0113					
scaffold	evento-globolo/evgl-api	PUSHED	2e751632		main			
scaffold	evento-globolo/evgl-dioxus-web	PUSHED	b748e1f3		main			
scaffold	evento-globolo/evgl-leptos-web	PUSHED	c5787789		main			
scaffold	evento-globolo/evgl-mash-web	PUSHED	dfbe1de1		main			
scaffold	StreemPilot/sp-api	PUSHED	709cbd77		main			
scaffold	StreemPilot/sp-cli	PUSHED	bfc934b3		main			
scaffold	StreemPilot/sp-infra	PUSHED	15e84676		main			
scaffold	StreemPilot/sp-sync	PUSHED	b8907e67		main			
scaffold	StreemPilot/sp-web-mash	PUSHED	c9d99aba		main			
scaffold	StreemPilot/streempilot-api-server.rs	PUSHED	5500bf37		main			
scaffold	StreemPilot/streempilot-chat.rs	PUSHED	6b974e5b		main			
scaffold	StreemPilot/streempilot-cli.rs	PUSHED	95f911f5		main			
scaffold	StreemPilot/streempilot-e2e	PUSHED	098e6c85		main			
scaffold	StreemPilot/streempilot-media-router.rs	PUSHED	99ac952c		main			
scaffold	StreemPilot/streempilot-monorepo	PUSHED	2b183148		main			
scaffold	akrion-sim/akrion-backend.rs	PUSHED	830e9aad		main			
scaffold	akrion-sim/akrion-mcp-server.rs	PUSHED	09f0bedf		main			
scaffold	akrion-sim/akrion-monorepo	PUSHED	a44b0814		main			
scaffold	akrion-sim/akrion-sim-e2e	PUSHED	6226404b		main			
scaffold	akrion-sim/akrion-sim-sync	PUSHED	a2d4f6db		main			
scaffold	akrion-sim/akrion-web-server.rs	PUSHED	0b8b3db4		main			
scaffold	athlet-o/athleto-backend.rs	PUSHED	63e02e63		main			
scaffold	athlet-o/athleto-e2e	PUSHED	8100a44c		main			
scaffold	athlet-o/athleto-infra	PUSHED	987fc245		main			
scaffold	athlet-o/athleto-mcp-server.rs	PUSHED	46f3be17		main			
scaffold	athlet-o/athleto-monorepo	PUSHED	95db6629		main			
scaffold	athlet-o/athleto-sync	PUSHED	8bd9ad55		main			
scaffold	canonical-cloud/canonical-cli	PUSHED	332e726c		main			
scaffold	canonical-cloud/canonical-e2e	PUSHED	64b3087f		main			
scaffold	canonical-cloud/canonical-infra	PUSHED	46e0eefb		main			
scaffold	cliptown/cliptown-e2e	PUSHED	2b4ed195		main			
scaffold	daedalus-fab/daedalus-api-server.rs	PUSHED	d8d1c644		main			
scaffold	daedalus-fab/daedalus-fab-e2e	PUSHED	1d2d3d50		main			
scaffold	daedalus-fab/daedalus-fab-mcp-server.rs	PUSHED	29f4cd53		main			
scaffold	daedalus-fab/daedalus-infra	PUSHED	6913801e		main			
scaffold	daedalus-fab/daedalus-sync	PUSHED	ac6eadaf		main			
scaffold	daedalus-fab/daedalus-web-server.rs	PUSHED	ede5329b		main			
scaffold	daedalus-fab/fabrication-server.rs	PUSHED	f7b60b52		main			
scaffold	drone-mngr/drone-mngr-ctrl-server.rs	PUSHED	b717ee3a		main			
scaffold	drone-mngr/drone-mngr-infra	PUSHED	7e882c76		main			
scaffold	drone-mngr/drone-mngr-mcp-server.rs	PUSHED	4bd93fc0		main			
scaffold	drone-mngr/drone-mngr-web-server.rs	PUSHED	f2c5506d		main			
scaffold	drone-mngr/laser-ptr-ctrl-server.rs	PUSHED	903e349b		main			
scaffold	ecma-d/ecmad-api-server.rs	PUSHED	468abd64		main			
scaffold	ecma-d/ecmad-daemon.rs	PUSHED	c2d03504		main			
scaffold	ecma-d/ecmad-e2e	PUSHED	5ebe1ca9		main			
scaffold	ecma-d/ecmad-infra	PUSHED	6e14e5fe		main			
scaffold	ecma-d/ecmad-sync	PUSHED	128b203c		main			
scaffold	ecma-d/ecmad-web-server.rs	PUSHED	d96f1d3d		main			
scaffold	file-tunnel/ftnl-mcp-server.rs	PUSHED	b9dd6780		main			
scaffold	hypesiege/hypesiege-analytics.rs	PUSHED	a10ee622		main			
scaffold	hypesiege/hypesiege-api-server.rs	PUSHED	163eab0e		main			
scaffold	hypesiege/hypesiege-cli.rs	PUSHED	c0b3878e		main			
scaffold	hypesiege/hypesiege-connectors	PUSHED	ee4b5bdf		main			
scaffold	hypesiege/hypesiege-e2e	PUSHED	5e7e159e		main			
scaffold	hypesiege/hypesiege-infra	PUSHED	b7034334		main			
scaffold	hypesiege/hypesiege-mcp-server.rs	PUSHED	1cc1c967		main			
scaffold	hypesiege/hypesiege-publishing-worker.rs	PUSHED	db520174		main			
scaffold	hypesiege/hypesiege-scheduler.rs	PUSHED	1a8ebf83		main			
scaffold	hypesiege/hypesiege-sync	PUSHED	0a8e1e40		main			
scaffold	hypesiege/hypesiege-web-server.rs	PUSHED	993857c8		main			
scaffold	memebank/mbk-api	PUSHED	5aa6ceee		master			
scaffold	memebank/memebank-e2e	PUSHED	a0ae12b4		main			
scaffold	messaging-intel/msgint-analytics	PUSHED	4b33167d		main			
scaffold	messaging-intel/msgint-api-server.rs	PUSHED	675593da		main			
scaffold	messaging-intel/msgint-connectors	PUSHED	1e477de9		main			
scaffold	messaging-intel/msgint-e2e	PUSHED	9f1f57cf		main			
scaffold	messaging-intel/msgint-mcp-server.rs	PUSHED	62414d03		main			
